STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY
34 ST-PENN STA,5243508.0,68994.0
86 ST,3860315.0,50794.0
34 ST-HERALD SQ,3853764.0,50707.0
125 ST,3750103.0,49343.0
23 ST,3602981.0,47408.0
GRD CNTRL-42 ST,3396251.0,44688.0
14 ST-UNION SQ,3361178.0,44226.0
59 ST,3093916.0,40709.0
FULTON ST,3050608.0,40140.0
TIMES SQ-42 ST,2941607.0,38705.0
96 ST,2711305.0,35675.0
42 ST-PORT AUTH,2656389.0,34952.0
CANAL ST,2570208.0,33819.0
59 ST COLUMBUS,2326714.0,30615.0
FLUSHING-MAIN,2282708.0,30036.0
14 ST,2252434.0,29637.0
JKSN HT-ROOSVLT,2233209.0,29384.0
72 ST,2136426.0,28111.0
ATL AV-BARCLAY,1982532.0,26086.0
47-50 STS ROCK,1846177.0,24292.0
PATH NEW WTC,1844793.0,24274.0
CHURCH AV,1806896.0,23775.0
28 ST,1726477.0,22717.0
145 ST,1725807.0,22708.0
KINGS HWY,1634833.0,21511.0
116 ST,1594338.0,20978.0
CHAMBERS ST,1509223.0,19858.0
103 ST,1472938.0,19381.0
8 AV,1458561.0,19192.0
77 ST,1458202.0,19187.0
GRAND ST,1380335.0,18162.0
50 ST,1364532.0,17954.0
7 AV,1330513.0,17507.0
BEDFORD AV,1305778.0,17181.0
CROWN HTS-UTICA,1301303.0,17122.0
72 ST-2 AVE,1286192.0,16924.0
JAY ST-METROTEC,1269649.0,16706.0
LEXINGTON AV/53,1261523.0,16599.0
DELANCEY/ESSEX,1247979.0,16421.0
42 ST-BRYANT PK,1244004.0,16368.0
W 4 ST-WASH SQ,1241652.0,16338.0
168 ST,1231561.0,16205.0
DEKALB AV,1210868.0,15932.0
WOODHAVEN BLVD,1197293.0,15754.0
SUTPHIN-ARCHER,1190160.0,15660.0
1 AV,1142191.0,15029.0
JOURNAL SQUARE,1137715.0,14970.0
JUNCTION BLVD,1128293.0,14846.0
161/YANKEE STAD,1127148.0,14831.0
JAMAICA CENTER,1091800.0,14366.0
NOSTRAND AV,1079658.0,14206.0
33 ST,1079268.0,14201.0
KEW GARDENS,1055751.0,13891.0
61 ST WOODSIDE,1052379.0,13847.0
BOROUGH HALL,1042870.0,13722.0
B'WAY-LAFAYETTE,998439.0,13137.0
WALL ST,988196.0,13003.0
FORDHAM RD,984735.0,12957.0
82 ST-JACKSON H,951016.0,12513.0
103 ST-CORONA,946212.0,12450.0
FOREST HILLS 71,941214.0,12384.0
LEXINGTON AV/63,929655.0,12232.0
68ST-HUNTER CO,921544.0,12126.0
KINGSBRIDGE RD,915340.0,12044.0
57 ST-7 AV,914452.0,12032.0
PARKCHESTER,909240.0,11964.0
167 ST,892179.0,11739.0
86 ST-2 AVE,890979.0,11723.0
3 AV-149 ST,888320.0,11688.0
90 ST-ELMHURST,871592.0,11468.0
BAY PKWY,871165.0,11463.0
170 ST,861664.0,11338.0
111 ST,860332.0,11320.0
FRANKLIN AV,858941.0,11302.0
BOWLING GREEN,843293.0,11096.0
MYRTLE-WYCKOFF,843177.0,11094.0
FLATBUSH AV-B.C,833031.0,10961.0
GRAND-NEWTOWN,832499.0,10954.0
JAMAICA 179 ST,825096.0,10857.0
CONEY IS-STILLW,823871.0,10840.0
96 ST-2 AVE,816475.0,10743.0
GUN HILL RD,811828.0,10682.0
BROADWAY,809138.0,10647.0
CATHEDRAL PKWY,792308.0,10425.0
34 ST-HUDSON YD,786602.0,10350.0
ASTORIA DITMARS,785259.0,10332.0
GROVE STREET,781764.0,10286.0
135 ST,780660.0,10272.0
79 ST,769414.0,10124.0
36 ST,733501.0,9651.0
18 AV,731093.0,9620.0
137 ST CITY COL,723209.0,9516.0
46 ST BLISS ST,721254.0,9490.0
SHEEPSHEAD BAY,720654.0,9482.0
181 ST,717048.0,9435.0
SPRING ST,709965.0,9342.0
2 AV,704724.0,9273.0
UTICA AV,685485.0,9020.0
66 ST-LINCOLN,678824.0,8932.0
FLUSHING AV,676187.0,8897.0
THIRTY THIRD ST,668234.0,8793.0
HUNTS POINT AV,667303.0,8780.0
MARCY AV,665596.0,8758.0
METROPOLITAN AV,664578.0,8744.0
FT HAMILTON PKY,662664.0,8719.0
110 ST,662288.0,8714.0
VERNON-JACKSON,662086.0,8712.0
53 ST,645425.0,8492.0
5 AV/53 ST,639759.0,8418.0
BEDFORD PK BLVD,636627.0,8377.0
BERGEN ST,633345.0,8333.0
HALSEY ST,625816.0,8234.0
STEINWAY ST,620527.0,8165.0
51 ST,620518.0,8165.0
49 ST,617852.0,8130.0
NEWKIRK PLAZA,610135.0,8028.0
BRIGHTON BEACH,606071.0,7975.0
AVENUE U,603595.0,7942.0
CHRISTOPHER ST,602929.0,7933.0
ROCKAWAY AV,602368.0,7926.0
63 DR-REGO PARK,589840.0,7761.0
175 ST,587027.0,7724.0
ASTOR PL,584647.0,7693.0
