STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY,ZIPCODE
34 ST-PENN STA,5243508.0,68994.0,10001
86 ST,3860315.0,50794.0,10028
34 ST-HERALD SQ,3853764.0,50707.0,10001
125 ST,3750103.0,49343.0,10027
23 ST,3602981.0,47408.0,10010
GRD CNTRL-42 ST,3396251.0,44688.0,10017
14 ST-UNION SQ,3361178.0,44226.0,10003
59 ST,3093916.0,40709.0,10023
FULTON ST,3050608.0,40140.0,10007
TIMES SQ-42 ST,2941607.0,38705.0,10036
96 ST,2711305.0,35675.0,10025
42 ST-PORT AUTH,2656389.0,34952.0,10036
CANAL ST,2570208.0,33819.0,10013
59 ST COLUMBUS,2326714.0,30615.0,10023
FLUSHING-MAIN,2282708.0,30036.0,11354
14 ST,2252434.0,29637.0,10003
JKSN HT-ROOSVLT,2233209.0,29384.0,11372
72 ST,2136426.0,28111.0,10023
ATL AV-BARCLAY,1982532.0,26086.0,11217
47-50 STS ROCK,1846177.0,24292.0,10020
PATH NEW WTC,1844793.0,24274.0,10007
CHURCH AV,1806896.0,23775.0,11218
28 ST,1726477.0,22717.0,10016
145 ST,1725807.0,22708.0,10031
KINGS HWY,1634833.0,21511.0,11223
116 ST,1594338.0,20978.0,10027
CHAMBERS ST,1509223.0,19858.0,10013
103 ST,1472938.0,19381.0,10029
8 AV,1458561.0,19192.0,10011
77 ST,1458202.0,19187.0,10075
GRAND ST,1380335.0,18162.0,10002
50 ST,1364532.0,17954.0,10019
7 AV,1330513.0,17507.0,10019
BEDFORD AV,1305778.0,17181.0,11211
CROWN HTS-UTICA,1301303.0,17122.0,11213
72 ST-2 AVE,1286192.0,16924.0,10021
JAY ST-METROTEC,1269649.0,16706.0,11201
LEXINGTON AV/53,1261523.0,16599.0,10022
DELANCEY/ESSEX,1247979.0,16421.0,10002
42 ST-BRYANT PK,1244004.0,16368.0,10036
W 4 ST-WASH SQ,1241652.0,16338.0,10014
168 ST,1231561.0,16205.0,10032
DEKALB AV,1210868.0,15932.0,11237
WOODHAVEN BLVD,1197293.0,15754.0,11373
SUTPHIN-ARCHER,1190160.0,15660.0,11435
1 AV,1142191.0,15029.0,10003
JOURNAL SQUARE,1137715.0,14970.0,7306
JUNCTION BLVD,1128293.0,14846.0,11368
161/YANKEE STAD,1127148.0,14831.0,10451
JAMAICA CENTER,1091800.0,14366.0,11432
NOSTRAND AV,1079658.0,14206.0,11216
33 ST,1079268.0,14201.0,10016
KEW GARDENS,1055751.0,13891.0,11415
61 ST WOODSIDE,1052379.0,13847.0,11377
BOROUGH HALL,1042870.0,13722.0,11201
B'WAY-LAFAYETTE,998439.0,13137.0,10012
WALL ST,988196.0,13003.0,10005
FORDHAM RD,984735.0,12957.0,10468
82 ST-JACKSON H,951016.0,12513.0,11372
103 ST-CORONA,946212.0,12450.0,11368
FOREST HILLS 71,941214.0,12384.0,11375
LEXINGTON AV/63,929655.0,12232.0,10065
68ST-HUNTER CO,921544.0,12126.0,10021
KINGSBRIDGE RD,915340.0,12044.0,10468
57 ST-7 AV,914452.0,12032.0,10019
PARKCHESTER,909240.0,11964.0,10472
167 ST,892179.0,11739.0,10456
86 ST-2 AVE,890979.0,11723.0,10028
3 AV-149 ST,888320.0,11688.0,10455
90 ST-ELMHURST,871592.0,11468.0,11373
BAY PKWY,871165.0,11463.0,11214
170 ST,861664.0,11338.0,10452
111 ST,860332.0,11320.0,11368
FRANKLIN AV,858941.0,11302.0,10013
BOWLING GREEN,843293.0,11096.0,10004
MYRTLE-WYCKOFF,843177.0,11094.0,11385
FLATBUSH AV-B.C,833031.0,10961.0,11201
GRAND-NEWTOWN,832499.0,10954.0,11373
JAMAICA 179 ST,825096.0,10857.0,11432
CONEY IS-STILLW,823871.0,10840.0,11224
96 ST-2 AVE,816475.0,10743.0,10128
GUN HILL RD,811828.0,10682.0,10467
BROADWAY,809138.0,10647.0,11233
CATHEDRAL PKWY,792308.0,10425.0,10025
